"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSMUSG00000020877",424.882558828785,-1.80635446682383,0.225731667412672,3.09144853254337e-16,3.21888091682088e-14,"Scrn2","217140"
"ENSMUSG00000105987",1741.06172693836,4.87884106826858,0.664115884939858,3.76328165034914e-16,3.88249167669561e-14,"AI506816","433855"
"ENSMUSG00000050423",9.54698489805176,-0.196320427933806,1.04230051821267,3.77214557901076e-16,3.88249167669561e-14,"Ppp1r3g","76487"
"ENSMUSG00000024795",233.108465240672,9.52336819555215,1.19066504979417,3.98760577591376e-16,4.08080181947655e-14,"Kif20b","240641"
"ENSMUSG00000002808",1279.06987966316,1.79634985927261,0.22564287672977,4.18607644129041e-16,4.25957062426534e-14,"Epdr1","105298"
"ENSMUSG00000034349",1185.98325031448,2.95309652454427,0.376078255603644,4.64787541750357e-16,4.70275711028652e-14,"Smc4","70099"
"ENSMUSG00000039787",129.546858273135,2.18652687777297,0.277213947298237,5.19976707846276e-16,5.2316083487747e-14,"Cercam","99151"
"ENSMUSG00000020669",72.5358387241375,10.7921762706283,2.80395572544321,5.24680118397943e-16,5.24943924044065e-14,"Sh3yl1","24057"
"ENSMUSG00000004071",887.379189599042,-1.2031938235762,0.150256454954649,5.33935319758552e-16,5.31235980086439e-14,"Cdip1","66626"
"ENSMUSG00000057614",73.9175842822642,11.140545197246,2.86342875393586,6.00269650710241e-16,5.93935313512138e-14,"Gnai1","14677"
"ENSMUSG00000005124",165.832120775063,9.92695431477428,1.48687202140234,6.53363631031682e-16,6.42916992755296e-14,"Ccn4","22402"
"ENSMUSG00000034265",63.7676322332402,10.6863168356928,2.79824513371071,7.30897532257025e-16,7.15281087715358e-14,"Zdhhc14","224454"
"ENSMUSG00000073702",3717.93179178898,1.18877768433258,0.149679341693229,7.46600891828897e-16,7.26678009334985e-14,"Rpl31","114641"
"ENSMUSG00000027932",175.104725005687,7.98303968226393,1.00500571857458,1.15008063991428e-15,1.1133402259581e-13,"Slc27a3","26568"
"ENSMUSG00000056367",77.5912930556469,10.6835664055058,2.79024009383514,1.19422591931101e-15,1.14985978435166e-13,"Actr3b","242894"
"ENSMUSG00000027199",148.195562680237,11.2209671452548,2.83370668430761,1.28304991622074e-15,1.22877759088755e-13,"Gatm","67092"
"ENSMUSG00000028671",346.869822636312,6.64440675893471,1.00078574646202,1.39870891901371e-15,1.33241904418173e-13,"Gale","74246"
"ENSMUSG00000020458",2214.37103384423,1.3133253649644,0.167437737303783,1.61297807615987e-15,1.52840340560566e-13,"Rtn4","68585"
"ENSMUSG00000100832",65.7476470468925,11.6377112233526,3.18641347555055,1.63554220264209e-15,1.54162764774301e-13,NA,NA
"ENSMUSG00000036438",25693.2305855391,-1.08586722910959,0.136881790810583,1.67789476599907e-15,1.57326792483127e-13,"Calm2","12314"
"ENSMUSG00000016256",1600.12798109963,1.66783481332475,0.214185373752859,1.75192550792979e-15,1.63412676674555e-13,"Ctsz","64138"
"ENSMUSG00000059901",105.863923212961,11.3389430203745,2.89159581780682,2.1925962157878e-15,2.03457023982092e-13,"Adamts14","237360"
"ENSMUSG00000081113",393.556951582338,-1.37988856350303,0.17705012879726,2.29064835630503e-15,2.11459904191066e-13,NA,NA
"ENSMUSG00000024056",155.598076905477,9.97792170214344,1.50967216325984,2.37855345393748e-15,2.18448788751622e-13,"Ndc80","67052"
"ENSMUSG00000036718",67.6788165968864,8.78270043183674,1.36620452682791,2.47586019780558e-15,2.26225409604593e-13,"Micall2","231830"
"ENSMUSG00000062078",5795.03362805245,1.55127470121233,0.199883921152149,2.49282698384054e-15,2.26619484536042e-13,"Qk","19317"
"ENSMUSG00000022945",276.509190342253,9.87055480469355,1.50374553931345,2.53627005720102e-15,2.29404345729359e-13,"Chaf1b","110749"
"ENSMUSG00000094392",87.8508704160663,3.56212586094298,0.472498715952295,2.55886833982926e-15,2.3028529194976e-13,NA,NA
