gene	Foxj1_tdT_Uninj_rep1	Foxj1_tdT_Uninj_rep2	Foxj1_tdT_1dpi_rep1	Foxj1_tdT_1dpi_rep2	Foxj1_tdT_5dpi_rep1	Foxj1_tdT_5dpi_rep2	Foxj1_Olig2_tdT_Uninj_rep1	Foxj1_Olig2_tdT_Uninj_rep2	Foxj1_Olig2_tdT_1dpi_rep1	Foxj1_Olig2_tdT_1dpi_rep2	Foxj1_Olig2_tdT_5dpi_rep1	Foxj1_Olig2_tdT_5dpi_rep2
210	4930505A04Rik	87,7	74,3	22,5	0	32,8	38,3	48,5	24,9	28,7	28,3	9	1,1
211	4930507D05Rik	0	0,9	0	0	29,7	0	2,1	0	0	0	32,6	18,6
212	4930516K23Rik	9	7	1,1	5,6	8,2	2	4,2	13,1	10,6	0	5,4	2,2
213	4930518I15Rik	57,3	43,3	0	40	18,5	54,7	6,3	39,1	15,9	7,6	32,6	20,9
214	4930519F16Rik	650,7	579,8	262,3	303	37,8	186,5	288,1	365	280,1	376,4	16,2	0
215	4930522L14Rik	1069,7	922,7	332,7	234,7	228,4	325,2	1081,4	934,3	573,2	571,6	231,9	253,6
216	4930523C07Rik	448,6	400,9	244,5	182,5	217,6	214	148,9	104,8	242,7	98,3	219,2	123,8
217	4930524J08Rik	14,6	12,5	18,4	0	13,4	45,9	59	18,8	34	11,6	15,3	21,4
218	4930526A20Rik	35,8	43,3	42,4	33,2	77,7	41,5	51,5	12	7,4	33	2,7	2,2
219	4930533O14Rik	263,3	260,7	418,7	927,4	793,7	343,8	313,6	174,9	377,2	473,4	851,8	1050,4
220	4930539E08Rik	33,6	33,4	24,3	15,6	27,6	17,3	13,7	13,1	17,9	33,8	7,3	5,4
221	4930548H24Rik	3,2	9,9	39,8	5,2	10,6	1,9	26,8	63,7	2	1,8	6,8	2,1
222	4930550C14Rik	683,2	649,6	221	130,3	194,5	313,5	377,2	460,5	400,4	317,8	102,4	124
223	4930563M21Rik	13,2	10	0	3,3	0	0	14	5,5	5,8	0	4	1,2
224	4930578G10Rik	49,2	36,7	3,5	8,1	12,3	0	10,2	6,4	10,6	16,8	3,9	2,5
225	4930579G24Rik	1,1	2,6	341,9	225,6	268,4	177,7	1,1	65,3	62,4	136,8	196,5	209
